Program	Message	Time	Details
PAC-MAN Championship Edition DX+	key down	380533	Up
PAC-MAN Championship Edition DX+	key up	380767	Up
PAC-MAN Championship Edition DX+	key down	380860	Left
PAC-MAN Championship Edition DX+	key up	381063	Left
PAC-MAN Championship Edition DX+	key down	381094	Up
PAC-MAN Championship Edition DX+	key up	381406	Up
PAC-MAN Championship Edition DX+	key down	381999	Left
PAC-MAN Championship Edition DX+	key up	382186	Left
PAC-MAN Championship Edition DX+	key down	382998	Up
PAC-MAN Championship Edition DX+	key up	383185	Up
PAC-MAN Championship Edition DX+	key down	383341	Right
PAC-MAN Championship Edition DX+	key up	383965	Right
PAC-MAN Championship Edition DX+	key down	384745	Up
PAC-MAN Championship Edition DX+	key up	384979	Up
PAC-MAN Championship Edition DX+	key down	385088	Down
PAC-MAN Championship Edition DX+	key up	385384	Down
PAC-MAN Championship Edition DX+	key down	385416	Right
PAC-MAN Championship Edition DX+	key down	385868	Up
PAC-MAN Championship Edition DX+	key up	385868	Right
PAC-MAN Championship Edition DX+	key up	386149	Up
PAC-MAN Championship Edition DX+	key down	386196	Right
PAC-MAN Championship Edition DX+	key up	386804	Right
PAC-MAN Championship Edition DX+	key down	387880	Up
PAC-MAN Championship Edition DX+	key up	388239	Up
PAC-MAN Championship Edition DX+	key down	388411	Up
PAC-MAN Championship Edition DX+	key up	388738	Up
PAC-MAN Championship Edition DX+	key down	389253	Down
PAC-MAN Championship Edition DX+	key up	389581	Down
PAC-MAN Championship Edition DX+	key down	394604	Right
PAC-MAN Championship Edition DX+	key up	395493	Right
PAC-MAN Championship Edition DX+	key down	395883	Down
PAC-MAN Championship Edition DX+	key up	396211	Down
PAC-MAN Championship Edition DX+	key down	396304	Left
PAC-MAN Championship Edition DX+	key up	397116	Left
PAC-MAN Championship Edition DX+	key down	397147	Right
PAC-MAN Championship Edition DX+	key down	397396	Down
PAC-MAN Championship Edition DX+	key up	397396	Right
PAC-MAN Championship Edition DX+	key up	397724	Down
PAC-MAN Championship Edition DX+	key down	397771	Left
PAC-MAN Championship Edition DX+	key up	398052	Left
PAC-MAN Championship Edition DX+	key down	398083	Down
PAC-MAN Championship Edition DX+	key up	398972	Down
PAC-MAN Championship Edition DX+	key down	399034	Right
PAC-MAN Championship Edition DX+	key up	399409	Right
PAC-MAN Championship Edition DX+	key down	399456	Down
PAC-MAN Championship Edition DX+	key up	399768	Down
PAC-MAN Championship Edition DX+	key down	399892	Right
PAC-MAN Championship Edition DX+	key up	400267	Right
PAC-MAN Championship Edition DX+	key down	400345	Down
PAC-MAN Championship Edition DX+	key up	400688	Down
PAC-MAN Championship Edition DX+	key down	400782	Left
PAC-MAN Championship Edition DX+	key up	401374	Left
PAC-MAN Championship Edition DX+	key down	401468	Up
PAC-MAN Championship Edition DX+	key up	401811	Up
PAC-MAN Championship Edition DX+	key down	402076	Right
PAC-MAN Championship Edition DX+	key up	402201	Right
PAC-MAN Championship Edition DX+	key down	407973	Up
PAC-MAN Championship Edition DX+	key up	408020	Up
PAC-MAN Championship Edition DX+	key down	408192	Right
PAC-MAN Championship Edition DX+	key up	408285	Right
PAC-MAN Championship Edition DX+	key down	408301	Up
PAC-MAN Championship Edition DX+	key up	408613	Up
PAC-MAN Championship Edition DX+	key down	408691	Left
PAC-MAN Championship Edition DX+	key up	409003	Left
PAC-MAN Championship Edition DX+	key down	409206	Up
PAC-MAN Championship Edition DX+	key up	409596	Up
PAC-MAN Championship Edition DX+	key down	409892	Right
PAC-MAN Championship Edition DX+	key up	410267	Right
PAC-MAN Championship Edition DX+	key down	410688	Left
PAC-MAN Championship Edition DX+	key up	410984	Left
PAC-MAN Championship Edition DX+	key down	411047	Up
PAC-MAN Championship Edition DX+	key up	411374	Up
PAC-MAN Championship Edition DX+	key down	411686	Right
PAC-MAN Championship Edition DX+	key up	412139	Right
PAC-MAN Championship Edition DX+	key down	412248	Up
PAC-MAN Championship Edition DX+	key up	412638	Up
PAC-MAN Championship Edition DX+	key down	412716	Left
PAC-MAN Championship Edition DX+	key up	413293	Left
PAC-MAN Championship Edition DX+	key down	413433	Up
PAC-MAN Championship Edition DX+	key up	413886	Up
PAC-MAN Championship Edition DX+	key down	414042	Left
PAC-MAN Championship Edition DX+	key up	414681	Left
PAC-MAN Championship Edition DX+	key down	415274	Down
PAC-MAN Championship Edition DX+	key up	415805	Down
PAC-MAN Championship Edition DX+	key down	415914	Left
PAC-MAN Championship Edition DX+	key up	416694	Left
PAC-MAN Championship Edition DX+	key down	418566	Down
PAC-MAN Championship Edition DX+	key up	419502	Down
