Program	Message	Time	Details
Hearthstone	mouse left up	440830136	(959, 503)
Hearthstone	mouse left down	440831462	(968, 684)
Hearthstone	mouse left up	440831634	(968, 683)
Hearthstone	mouse left down	440840292	(667, 522)
Hearthstone	mouse left up	440841649	(845, 351)
Hearthstone	mouse left down	440843833	(739, 492)
Hearthstone	mouse left up	440844769	(908, 326)
Hearthstone	mouse left down	440846891	(1310, 400)
Hearthstone	mouse left up	440847062	(1310, 400)
Hearthstone	mouse right down	440853833	(777, 652)
Hearthstone	mouse right up	440853958	(777, 652)
Hearthstone	mouse left down	440854488	(667, 634)
Hearthstone	mouse left up	440854566	(667, 634)
Hearthstone	mouse right down	440868045	(767, 697)
Hearthstone	mouse right up	440868169	(767, 697)
Hearthstone	mouse left down	440869012	(688, 571)
Hearthstone	mouse left up	440869121	(688, 571)
Hearthstone	mouse left down	440881913	(954, 443)
Hearthstone	mouse left up	440882085	(954, 443)
Hearthstone	mouse left down	440884893	(985, 438)
Hearthstone	mouse left up	440885080	(985, 438)
Hearthstone	mouse left down	440892740	(584, 577)
Hearthstone	mouse left up	440892896	(583, 577)
Hearthstone	mouse left down	440895298	(1165, 741)
Hearthstone	mouse left up	440895423	(1165, 741)
Hearthstone	mouse left down	440937683	(724, 394)
Hearthstone	mouse left up	440937855	(724, 394)
Hearthstone	mouse left down	440938479	(906, 331)
Hearthstone	mouse left up	440938619	(906, 331)
Hearthstone	mouse left down	440941505	(1063, 341)
Hearthstone	mouse left up	440941646	(1063, 341)
Hearthstone	mouse left down	440942332	(750, 707)
Hearthstone	mouse left up	440942457	(750, 705)
Hearthstone	mouse left down	440962846	(1322, 403)
Hearthstone	mouse left up	440963034	(1322, 402)
Hearthstone	mouse left down	440978946	(965, 664)
Hearthstone	mouse left up	440979086	(965, 663)
Hearthstone	mouse left down	440981941	(1263, 400)
Hearthstone	mouse left up	440982159	(1263, 399)
Hearthstone	mouse left down	441033796	(1213, 810)
Hearthstone	mouse left up	441033983	(1213, 810)
Hearthstone	mouse left down	441037992	(966, 684)
Hearthstone	mouse left up	441038881	(966, 684)
Hearthstone	mouse left down	441042438	(999, 841)
Hearthstone	mouse left up	441043515	(848, 373)
Hearthstone	mouse left down	441045777	(1276, 396)
Hearthstone	mouse left up	441046104	(1276, 396)
Hearthstone	mouse left down	441125977	(685, 796)
Hearthstone	mouse left up	441127334	(691, 368)
Hearthstone	mouse left down	441134448	(1284, 407)
Hearthstone	mouse left up	441134791	(1284, 407)
Hearthstone	mouse left down	441178596	(839, 814)
Hearthstone	mouse left up	441180359	(799, 651)
Hearthstone	mouse left down	441181404	(947, 661)
Hearthstone	mouse left up	441181560	(947, 661)
Hearthstone	mouse left down	441182948	(971, 848)
Hearthstone	mouse left up	441183744	(946, 505)
Hearthstone	mouse left down	441187051	(1296, 421)
Hearthstone	mouse left up	441187425	(1296, 421)
Hearthstone	mouse left down	441298249	(503, 870)
Hearthstone	mouse left up	441300963	(847, 368)
Hearthstone	mouse left down	441310463	(572, 828)
Hearthstone	mouse left up	441312273	(800, 187)
Hearthstone	mouse left down	441320666	(1288, 403)
Hearthstone	mouse left up	441320931	(1288, 403)
Hearthstone	mouse left down	441378729	(1007, 869)
Hearthstone	mouse left up	441380414	(920, 469)
Hearthstone	mouse left down	441385765	(1003, 854)
Hearthstone	mouse left up	441386920	(793, 661)
Hearthstone	mouse left down	441390523	(597, 832)
Hearthstone	mouse left up	441392551	(827, 476)
Hearthstone	mouse left down	441393877	(941, 665)
Hearthstone	mouse left up	441394080	(941, 665)
Hearthstone	mouse left down	441396482	(1286, 400)
Hearthstone	mouse left up	441396670	(1286, 400)
Hearthstone	mouse left down	441469350	(653, 819)
Hearthstone	mouse left up	441470614	(923, 479)
Hearthstone	mouse left down	441476230	(975, 838)
Hearthstone	mouse left up	441477463	(854, 500)
Hearthstone	mouse left down	441480458	(744, 482)
Hearthstone	mouse left up	441481004	(794, 368)
Hearthstone	mouse left down	441482236	(1306, 399)
Hearthstone	mouse left up	441482361	(1306, 399)
Hearthstone	mouse left down	441550705	(537, 837)
Hearthstone	mouse left up	441552936	(903, 480)
Hearthstone	mouse left down	441565182	(977, 673)
Hearthstone	mouse left up	441565338	(977, 673)
Hearthstone	mouse left down	441569347	(701, 463)
Hearthstone	mouse left up	441570205	(803, 208)
Hearthstone	mouse left down	441571781	(1283, 398)
Hearthstone	mouse left up	441571921	(1283, 398)
Hearthstone	mouse left down	441654180	(533, 832)
Hearthstone	mouse left up	441656068	(1007, 473)
Hearthstone	mouse left down	441658424	(875, 487)
Hearthstone	mouse left up	441659250	(874, 367)
Hearthstone	mouse left down	441667222	(800, 475)
Hearthstone	mouse left up	441667940	(791, 378)
Hearthstone	mouse left down	441678314	(791, 800)
Hearthstone	mouse left up	441679468	(619, 477)
Hearthstone	mouse left down	441680139	(731, 342)
Hearthstone	mouse left up	441680264	(731, 340)
Hearthstone	mouse left down	441684351	(740, 454)
Hearthstone	mouse left up	441685115	(784, 188)
Hearthstone	mouse left down	441686675	(1309, 410)
Hearthstone	mouse left up	441686816	(1309, 410)
Hearthstone	mouse left down	441751322	(700, 811)
Hearthstone	mouse left up	441753038	(1067, 491)
Hearthstone	mouse left down	441756392	(814, 651)
Hearthstone	mouse left up	441758077	(686, 336)
Hearthstone	mouse left down	441763459	(753, 812)
Hearthstone	mouse left up	441764692	(786, 465)
Hearthstone	mouse left down	441765862	(657, 486)
Hearthstone	mouse left up	441766610	(799, 187)
Hearthstone	mouse left down	441767375	(802, 479)
Hearthstone	mouse left up	441768217	(839, 207)
Hearthstone	mouse left down	441768716	(823, 461)
Hearthstone	mouse left up	441769559	(818, 188)
Hearthstone	mouse left down	441770323	(893, 501)
Hearthstone	mouse left up	441771431	(799, 215)
Hearthstone	mouse left down	441782647	(1043, 276)
Hearthstone	mouse left up	441782788	(1043, 276)
Hearthstone	mouse left down	441785518	(1044, 276)
Hearthstone	mouse left up	441785720	(1044, 276)
Hearthstone	mouse left down	441787405	(1045, 276)
Hearthstone	mouse left up	441787515	(1045, 276)
Hearthstone	mouse left down	441793021	(1313, 827)
Hearthstone	mouse left up	441793177	(1313, 827)
Hearthstone	mouse left down	441796251	(290, 778)
Hearthstone	mouse left up	441796375	(290, 778)
Hearthstone	mouse left down	441798575	(1083, 643)
Hearthstone	mouse left up	441798715	(1083, 643)
Hearthstone	mouse left down	441801383	(793, 711)
Hearthstone	mouse left up	441801508	(793, 710)
Hearthstone	mouse left down	441802475	(1457, 574)
Hearthstone	mouse left up	441802584	(1457, 573)
Hearthstone	mouse left down	441803973	(668, 747)
Hearthstone	mouse left up	441804097	(668, 747)
Hearthstone	mouse left down	441809292	(341, 402)
Hearthstone	mouse left up	441809869	(924, 440)
Hearthstone	mouse left down	441817014	(741, 360)
Hearthstone	mouse left up	441817186	(741, 360)
Hearthstone	mouse left down	441818964	(808, 663)
Hearthstone	mouse left up	441819105	(808, 663)
Hearthstone	mouse left down	441821944	(1045, 573)
Hearthstone	mouse left up	441822100	(1045, 573)
Hearthstone	mouse left down	441824128	(971, 257)
Hearthstone	mouse left up	441824284	(971, 257)
Hearthstone	mouse left down	441831382	(1179, 272)
Hearthstone	mouse left up	441831803	(1179, 272)
Hearthstone	mouse left down	441842801	(949, 462)
Hearthstone	mouse left up	441843051	(949, 461)
