Program	Message	Time	Details
Papers Please	mouse left down	12792752	(678, 651)
Papers Please	mouse left up	12792861	(678, 651)
Papers Please	mouse left down	12793314	(412, 489)
Papers Please	mouse left up	12793423	(412, 489)
Papers Please	mouse left down	12795482	(404, 691)
Papers Please	mouse left up	12795638	(404, 691)
Papers Please	mouse left down	12802658	(826, 573)
Papers Please	mouse left up	12803626	(978, 567)
Papers Please	mouse left down	12804109	(1362, 440)
Papers Please	mouse left up	12804203	(1354, 441)
Papers Please	mouse left down	12804562	(874, 617)
Papers Please	mouse left up	12805123	(1148, 638)
Papers Please	mouse left down	12805529	(1190, 424)
Papers Please	mouse left up	12805607	(1190, 424)
Papers Please	mouse left down	12805825	(1179, 654)
Papers Please	mouse left up	12806512	(388, 457)
Papers Please	mouse left down	12809039	(577, 278)
Papers Please	mouse left up	12809226	(577, 278)
Papers Please	mouse left down	12815575	(431, 635)
Papers Please	mouse left up	12816870	(786, 540)
Papers Please	mouse left down	12821441	(841, 602)
Papers Please	mouse left up	12821862	(1041, 604)
Papers Please	mouse left down	12822704	(1370, 430)
Papers Please	mouse left up	12822829	(1370, 430)
Papers Please	mouse left down	12823328	(1019, 625)
Papers Please	mouse left up	12823594	(1215, 640)
Papers Please	mouse left down	12823937	(1205, 422)
Papers Please	mouse left up	12824046	(1205, 422)
Papers Please	mouse left down	12824327	(1185, 630)
Papers Please	mouse left up	12824951	(389, 445)
Papers Please	mouse left down	12826246	(581, 275)
Papers Please	mouse left up	12826480	(581, 275)
Papers Please	mouse left down	12827151	(575, 263)
Papers Please	mouse left up	12827260	(576, 263)
Papers Please	mouse left down	12828664	(897, 346)
Papers Please	mouse left up	12828773	(897, 346)
Papers Please	mouse left down	12831409	(1223, 467)
Papers Please	mouse left up	12831519	(1223, 467)
Papers Please	mouse left down	12833765	(408, 609)
Papers Please	mouse left up	12835309	(799, 539)
Papers Please	mouse left down	12838445	(1262, 527)
Papers Please	mouse left up	12838570	(1262, 527)
Papers Please	mouse left down	12839662	(820, 546)
Papers Please	mouse left up	12840005	(850, 546)
Papers Please	mouse left down	12840738	(1334, 746)
Papers Please	mouse left up	12840832	(1336, 747)
Papers Please	mouse left down	12841705	(1204, 547)
Papers Please	mouse left up	12841815	(1203, 547)
Papers Please	mouse left down	12842470	(868, 608)
Papers Please	mouse left up	12842579	(868, 608)
Papers Please	mouse left down	12844747	(424, 717)
Papers Please	mouse left up	12844872	(424, 717)
Papers Please	mouse left down	12846417	(1364, 428)
Papers Please	mouse left up	12846541	(1364, 429)
Papers Please	mouse left down	12847540	(851, 579)
Papers Please	mouse left up	12847805	(1039, 614)
Papers Please	mouse left down	12848117	(1016, 417)
Papers Please	mouse left up	12848195	(1010, 419)
Papers Please	mouse left down	12848445	(1074, 647)
Papers Please	mouse left up	12848991	(418, 463)
Papers Please	mouse left down	12850629	(574, 274)
Papers Please	mouse left up	12851206	(574, 274)
Papers Please	mouse left down	12852797	(900, 361)
Papers Please	mouse left up	12852906	(900, 361)
Papers Please	mouse left down	12853702	(1222, 466)
